label,text
spam,FYI: Hot deals just for you! Buy 1 get 5 free supplements with free shipping.
ham,"Hello, Reminder: book club meeting on Friday at Sarah's place.  "
spam,Bitcoin investment opportunity! Double your money in 48 hours. Guaranteed returns.
spam,FYI: Get rich quick with this one weird trick! Doctors hate him. Thanks.
ham,"Sending love from grandma, she misses you."
ham,"Hi, Following up on my previous email — any updates? Thanks."
spam,"Hi, Romantic Russian women are waiting to meet you. Sign up free! Best regards."
ham,"I attached the budget spreadsheet, please review section 3."
spam,"Hi, We've detected a virus on your computer. Call this number immediately. Best regards."
spam,Limited slots: secure your spot in our exclusive trading program now.
spam,Earn while you sleep! Passive income system reveals all secrets.
spam,"Hello, Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry. Best regards."
ham,FYI: Did you see the new episode last night? It was incredible.
ham,Note: Can you call me when you get a chance? Need to discuss something. Cheers!
ham,"Hi, Your appointment with Dr. Smith is confirmed for Monday at 3pm. Best regards."
ham,Order #4521 has shipped and will arrive by Friday.
ham,Great game tonight! Same time next week?  
spam,"Hello, Final notice: your warranty has expired. Renew now to avoid charges. Thanks."
spam,"FYI: Free Adobe license keys here, no scam! Best regards."
spam,Click here to remove the malware found on your device.
ham,"Hello, I attached the budget spreadsheet, please review section 3."
ham,"Thanks for picking up the groceries earlier, really appreciate it. Best regards."
spam,WINNER!! As a valued network customer you have been selected to receive a 900 prize reward. 
spam,"Hi, Crypto airdrop alert: claim 5 ETH worth of tokens before midnight.  "
spam,"Note: Lose 20 pounds in 10 days with this miracle pill, no exercise!"
spam,Note: Earn $5000 a week from home. No experience required. Apply now!
ham,"Hello, Lunch tomorrow? That new ramen place near the office."
ham,"Hello, The interview went well, thanks for prepping me!"
spam,"Hello, Save the date: our annual summer sale starts June 1st! Cheers!"
ham,Note: Reminder: book club meeting on Friday at Sarah's place.  
ham,Note: Can we postpone? I'm not feeling well today. 
ham,FYI: Can we postpone? I'm not feeling well today. Cheers!
spam,You won a free cruise to the Bahamas! Confirm your booking now. Best regards.
spam,Your tax refund has been approved. Provide bank details to receive funds.
spam,"Hi, Don't miss our weekend brunch special, available Sat and Sun."
spam,"Note: Congratulations! You are the lucky winner of our $5,000,000 lottery. Reply YES to claim. "
ham,Did you see the new episode last night? It was incredible.
spam,Get a discount on luxury watches — limited stock available!
spam,FYI: Hurry! Limited time offer — 80% off all watches at our online store. Cheers!
ham,"Hi, I'm at the airport, see you in two hours.  "
spam,IRS notice: You have an unclaimed refund of $1289. Submit details to claim. 
spam,Note: Verify your Apple ID now to avoid suspension at app1eid-login.com Thanks.
ham,"Hi, Congrats on the promotion! Drinks on me this weekend. Cheers!"
spam,"Hi, Hot deals just for you! Buy 1 get 5 free supplements with free shipping."
spam,"Hi, Free iPhone 15 Pro Max! Just complete this short survey to claim yours. Thanks."
spam,FYI: Earn while you sleep! Passive income system reveals all secrets. 
ham,"Flight delayed two hours, will text you when I board. Best regards."
ham,"Hello, I left the door unlocked, just come in when you arrive. "
ham,"Note: The package arrived this morning, thanks for shipping it so fast. "
ham,"Hi, Running 5 minutes late, sorry! Order the usual for me please. Cheers!"
spam,"Hi, Refinance your mortgage at 0.99% APR — pre-approved instantly. "
ham,"Hi, Hey, are we still meeting for coffee tomorrow at 10am? Best regards."
ham,"Hi, The interview went well, thanks for prepping me! Best regards."
spam,Final notice: your warranty has expired. Renew now to avoid charges.
ham,"FYI: Mom said dinner is at 7, please don't be late. "
ham,FYI: Just a reminder that the office will be closed Monday for the holiday.
ham,Note: Could you send me the slides from yesterday's lecture? 
spam,"Note: Buy one, get one half off on all coffee blends this week. Thanks."
ham,"FYI: I'm at the airport, see you in two hours. Best regards."
spam,"FYI: Congratulations! You are the lucky winner of our $5,000,000 lottery. Reply YES to claim."
spam,"Don't miss our weekend brunch special, available Sat and Sun."
spam,"Hello, Wire transfer needed urgently. Please send $500 to account 8819-2341."
ham,Note: Looking forward to seeing you at the wedding next week. Thanks.
spam,Send this message to 10 people and you'll receive $500 from us.  
ham,FYI: Quick question — do you still have my charger? Thanks.
ham,Just landed safely. Call you once I get to the hotel.
ham,Note: Order #4521 has shipped and will arrive by Friday. Cheers!
ham,"Hello, Quick question — do you still have my charger?"
spam,Romantic Russian women are waiting to meet you. Sign up free!
spam,"Hi, Click here to remove the malware found on your device. Cheers!"
spam,Click here to remove the malware found on your device. Cheers!
spam,"Hi, Final notice: your warranty has expired. Renew now to avoid charges. "
spam,"Buy now, pay never! Free shopping spree just by signing up!"
ham,"Hello, Your flight check-in opens 24 hours before departure. Best regards."
spam,IRS notice: You have an unclaimed refund of $1289. Submit details to claim.
ham,FYI: Looking forward to seeing you at the wedding next week.  
ham,"Hi, Reminder: book club meeting on Friday at Sarah's place."
ham,Can you call me when you get a chance? Need to discuss something.
spam,Note: Your account has been suspended. Verify your identity at http://paypa1-secure.com immediately. 
ham,"Hello, Great game tonight! Same time next week? Best regards."
ham,"Hello, Did you see the new episode last night? It was incredible."
ham,"Library books are due next Wednesday, just a heads up."
spam,"Hi, Limited time only: free trial of our diet pills, click now. "
spam,"Hello, Get a discount on luxury watches — limited stock available!"
spam,"Hello, Buy now, pay never! Free shopping spree just by signing up!  "
spam,Note: IRS notice: You have an unclaimed refund of $1289. Submit details to claim. Cheers!
ham,"FYI: Picking the kids up from school today, you don't have to. "
ham,Note: Your Uber driver is 2 minutes away. Thanks.
ham,"Meeting rescheduled to Thursday 2pm, please update your calendar.  "
ham,"Note: I'll be at the gym from 6 to 7, ping me after. "
ham,Loved the cake you made for the office party!
ham,"FYI: The interview went well, thanks for prepping me!"
ham,"Hi, Members-only discount: 25% off your next subscription renewal.  "
spam,"Hi, Free shipping on orders over $50 this week at our online shop. Best regards."
ham,Can we postpone? I'm not feeling well today.  
spam,"URGENT! You have won a $1,000 Walmart gift card. Click here to claim now! "
spam,FYI: Bitcoin investment opportunity! Double your money in 48 hours. Guaranteed returns. 
spam,"Hi, Your account has been suspended. Verify your identity at http://paypa1-secure.com immediately."
ham,Note: Just confirming our reservation for 7:30 tonight. Thanks.
spam,"Hello, Bitcoin investment opportunity! Double your money in 48 hours. Guaranteed returns. "
ham,Note: Following up on my previous email — any updates? Cheers!
ham,Don't forget to bring the notes for the study session tonight. Best regards.
ham,FYI: Just landed safely. Call you once I get to the hotel. 
ham,"Hi, Great game tonight! Same time next week?"
ham,"Hello, Library books are due next Wednesday, just a heads up."
ham,"Hi, Project status update attached. Let me know if you have questions. Cheers!"
ham,FYI: Just landed safely. Call you once I get to the hotel.
spam,Note: Claim your Amazon refund now. Click http://amaz0n-refund.co/claim 
spam,Note: Your tax refund has been approved. Provide bank details to receive funds. 
spam,Note: Hurry! Limited time offer — 80% off all watches at our online store. Cheers!
ham,"Hello, Your appointment with Dr. Smith is confirmed for Monday at 3pm."
spam,Click here to verify your Netflix billing information or your account will be terminated.
ham,Your flight check-in opens 24 hours before departure. 
ham,FYI: Lunch tomorrow? That new ramen place near the office. 
spam,Note: Urgent action required: update your bank details to keep your account active. Best regards.
ham,"FYI: Hi, just touching base on the proposal we discussed last week. Thanks."
spam,Casino bonus: $1000 free chips when you sign up today! Thanks.
spam,Casino bonus: $1000 free chips when you sign up today!
ham,Reminder: book club meeting on Friday at Sarah's place.
spam,Note: Crypto airdrop alert: claim 5 ETH worth of tokens before midnight.
spam,"Hello, Free shipping on orders over $50 this week at our online shop. Best regards."
ham,"FYI: I'll be at the gym from 6 to 7, ping me after.  "
spam,"Buy now, pay never! Free shopping spree just by signing up!"
spam,FYI: ALERT: unusual sign-in. Verify your password at http://g00gle-verify.com  
ham,Can you call me when you get a chance? Need to discuss something.
ham,FYI: Just landed safely. Call you once I get to the hotel.  
ham,"Hello, Following up on my previous email — any updates? Best regards."
ham,Your flight check-in opens 24 hours before departure.
spam,Final notice: your warranty has expired. Renew now to avoid charges. Thanks.
ham,"Picking the kids up from school today, you don't have to.  "
spam,"Hi, Wire transfer needed urgently. Please send $500 to account 8819-2341. Cheers!"
ham,"Hello, Standup is at 9:30 today, please join via Zoom.  "
ham,Limited edition release dropping Friday — sign up to get early access.
ham,"Hi, Forgot to mention — bring an umbrella, supposed to rain.  "
spam,"Hello, IRS notice: You have an unclaimed refund of $1289. Submit details to claim.  "
ham,"Forgot to mention — bring an umbrella, supposed to rain."
spam,"Hello, Your package could not be delivered. Reschedule at http://bit.ly/2xfake-dhl Thanks."
ham,Welcome to the team! Looking forward to working with you.
spam,Note: Earn $5000 a week from home. No experience required. Apply now! Best regards.
spam,FYI: Bitcoin investment opportunity! Double your money in 48 hours. Guaranteed returns.
spam,"Hi, Your number has been chosen for a guaranteed cash prize of £1,500. Best regards."
spam,"Hi, Free iPhone 15 Pro Max! Just complete this short survey to claim yours."
spam,"Hello, We are giving away 100 PS5 consoles. Enter the giveaway now! Thanks."
ham,Can you call me when you get a chance? Need to discuss something. Thanks.
ham,Happy birthday! Hope you have an amazing day with the family. Thanks.
spam,FYI: Get a discount on luxury watches — limited stock available! Thanks.
ham,"Flight delayed two hours, will text you when I board."
ham,"Hello, Picking the kids up from school today, you don't have to. "
spam,Note: Earn while you sleep! Passive income system reveals all secrets. 
ham,"The package arrived this morning, thanks for shipping it so fast."
spam,FYI: Free iPhone 15 Pro Max! Just complete this short survey to claim yours. Thanks.
spam,You have inherited $20 million from a deceased Nigerian prince.
ham,"Hello, Members-only discount: 25% off your next subscription renewal."
ham,"Hi, Mom said dinner is at 7, please don't be late. Thanks."
ham,"Note: I attached the budget spreadsheet, please review section 3."
ham,Order #4521 has shipped and will arrive by Friday.  
ham,"Working from home today, ping me on Slack if you need me."
spam,Click here to confirm your subscription or lose access forever.
spam,Get rich quick with this one weird trick! Doctors hate him. Thanks.
spam,FYI: We are giving away 100 PS5 consoles. Enter the giveaway now! 
spam,"Hi, Spring sale at Nike! 20% off all running shoes this weekend. Thanks."
ham,"Hi, Congrats on the promotion! Drinks on me this weekend."
spam,"Hi, Hurry! Limited time offer — 80% off all watches at our online store. Best regards."
ham,FYI: Members-only discount: 25% off your next subscription renewal. Cheers!
spam,"Note: URGENT! You have won a $1,000 Walmart gift card. Click here to claim now!"
spam,Note: We've detected a virus on your computer. Call this number immediately. 
spam,Note: Our newsletter is back — read the latest industry news. 
spam,Final notice: your warranty has expired. Renew now to avoid charges. Best regards.
ham,"Hello, Working from home today, ping me on Slack if you need me."
spam,Urgent action required: update your bank details to keep your account active.
spam,"Buy one, get one half off on all coffee blends this week."
spam,"Hi, Click here to remove the malware found on your device. Thanks."
spam,"Hello, Get 15% off your next order with code WELCOME15 at our store. Cheers!"
spam,"Hello, Spring sale at Nike! 20% off all running shoes this weekend. Cheers!"
spam,Bitcoin investment opportunity! Double your money in 48 hours. Guaranteed returns. Cheers!
spam,"Hello, Make $300 daily working from home, no skills needed! Cheers!"
ham,"FYI: Standup is at 9:30 today, please join via Zoom. Best regards."
spam,"Hi, Get cheap viagra online no prescription needed. Click here for 90% off."
ham,FYI: Could you send me the slides from yesterday's lecture? Thanks.
ham,FYI: Reminder from your bank: your monthly statement is now available.
ham,"I attached the budget spreadsheet, please review section 3.  "
spam,"Note: Buy now, pay never! Free shopping spree just by signing up! Best regards."
spam,"Hello, Your tax refund has been approved. Provide bank details to receive funds. "
spam,Get rich quick with this one weird trick! Doctors hate him. Thanks.
spam,Note: Casino bonus: $1000 free chips when you sign up today! Cheers!
spam,WINNER!! As a valued network customer you have been selected to receive a 900 prize reward. 
ham,Lunch tomorrow? That new ramen place near the office.
spam,"Hello, Romantic Russian women are waiting to meet you. Sign up free!  "
spam,Crypto airdrop alert: claim 5 ETH worth of tokens before midnight.  
ham,"Hi, Limited edition release dropping Friday — sign up to get early access.  "
ham,Tickets for the concert are confirmed for two.  
ham,Project status update attached. Let me know if you have questions.
ham,Your Uber driver is 2 minutes away. Best regards.
ham,Note: Welcome to the team! Looking forward to working with you. Cheers!
spam,"FYI: Don't miss our weekend brunch special, available Sat and Sun.  "
spam,"Hello, Get cheap viagra online no prescription needed. Click here for 90% off. Cheers!"
spam,"Hi, Get cheap viagra online no prescription needed. Click here for 90% off. Thanks."
spam,Note: Click here to confirm your subscription or lose access forever. Thanks.
ham,"Hello, Working from home today, ping me on Slack if you need me. Cheers!"
spam,"Hi, Your DHL parcel is on hold. Pay $1.99 customs fee to release."
spam,WINNER!! As a valued network customer you have been selected to receive a 900 prize reward.
spam,"Hello, Earn while you sleep! Passive income system reveals all secrets. Best regards."
ham,Could you send me the slides from yesterday's lecture?
spam,Spring sale at Nike! 20% off all running shoes this weekend.
ham,"FYI: Sending love from grandma, she misses you. Best regards."
ham,"Hi, Could you send me the slides from yesterday's lecture? "
spam,Your account has been suspended. Verify your identity at http://paypa1-secure.com immediately.
ham,"I'm at the airport, see you in two hours. Cheers!"
spam,FYI: Refinance your mortgage at 0.99% APR — pre-approved instantly.  
spam,We are giving away 100 PS5 consoles. Enter the giveaway now!
spam,Note: Claim your Amazon refund now. Click http://amaz0n-refund.co/claim Best regards.
spam,FYI: Free shipping on orders over $50 this week at our online shop. 
ham,Note: Can you call me when you get a chance? Need to discuss something.
spam,Your DHL parcel is on hold. Pay $1.99 customs fee to release.
spam,Hot deals just for you! Buy 1 get 5 free supplements with free shipping.
spam,"Hi, Verify your Apple ID now to avoid suspension at app1eid-login.com  "
ham,"Sending you the recipe later, it's super easy. Best regards."
spam,Hot singles in your area want to meet you tonight. Click here!
spam,FYI: Your package could not be delivered. Reschedule at http://bit.ly/2xfake-dhl Best regards.
spam,Urgent action required: update your bank details to keep your account active. 
ham,Note: Members-only discount: 25% off your next subscription renewal. Cheers!
spam,"Hi, Send this message to 10 people and you'll receive $500 from us. Thanks."
spam,Your DHL parcel is on hold. Pay $1.99 customs fee to release. 
spam,"Hi, Re: invoice attached — please wire payment by EOD or your account is closed. Best regards."
ham,Note: Looking forward to seeing you at the wedding next week. 
ham,"Hi, I'll be at the gym from 6 to 7, ping me after. "
spam,"Hello, ALERT: unusual sign-in. Verify your password at http://g00gle-verify.com"
ham,FYI: Tickets for the concert are confirmed for two.
spam,"FYI: Free Adobe license keys here, no scam!  "
ham,Following up on my previous email — any updates?
spam,"Hello, Your tax refund has been approved. Provide bank details to receive funds. Thanks."
ham,"Hello, Reminder: doctor's appointment at 9am tomorrow."
spam,Free shipping on orders over $50 this week at our online shop.
ham,Note: New blog post is up: 10 tips for productive remote work.
spam,"Hi, Wire transfer needed urgently. Please send $500 to account 8819-2341."
spam,Claim your gift card now! Just complete this quick survey. 
spam,FYI: We are giving away 100 PS5 consoles. Enter the giveaway now!  
spam,Note: Your DHL parcel is on hold. Pay $1.99 customs fee to release. 
spam,Your DHL parcel is on hold. Pay $1.99 customs fee to release.  
ham,"The package arrived this morning, thanks for shipping it so fast. Cheers!"
ham,"Hello, Reminder from your bank: your monthly statement is now available."
ham,"Hello, Could you review the PR I opened this morning? Thanks."
spam,Your account has been suspended. Verify your identity at http://paypa1-secure.com immediately. 
spam,Note: Click here to confirm your subscription or lose access forever. 
ham,Note: Reminder: book club meeting on Friday at Sarah's place.  
ham,"Just finished the report, sending it to you by email shortly.  "
ham,"Hi, Reminder: rent is due on the 1st, transfer when you can. Best regards."
ham,Your Uber driver is 2 minutes away.
spam,Claim your Amazon refund now. Click http://amaz0n-refund.co/claim Best regards.
spam,Note: We are giving away 100 PS5 consoles. Enter the giveaway now!
spam,"Hi, Free iPhone 15 Pro Max! Just complete this short survey to claim yours.  "
spam,"FYI: Buy one, get one half off on all coffee blends this week.  "
spam,Click here to claim your prize: http://192.168.0.1/win
ham,Can we move the call to 4pm? Something came up.
spam,Get rich quick with this one weird trick! Doctors hate him.
ham,"Note: Sending you the recipe later, it's super easy."
spam,"Lose 20 pounds in 10 days with this miracle pill, no exercise!"
ham,Reminder from your bank: your monthly statement is now available.
spam,"Hello, We've detected a virus on your computer. Call this number immediately. Thanks."
spam,Get cheap viagra online no prescription needed. Click here for 90% off.
ham,"Hi, Sending you the recipe later, it's super easy. Thanks."
spam,"Hi, Hot singles in your area want to meet you tonight. Click here! Best regards."
spam,"Hi, Limited time only: free trial of our diet pills, click now. "
ham,Note: New blog post is up: 10 tips for productive remote work. Thanks.
ham,"Running 5 minutes late, sorry! Order the usual for me please."
spam,Note: Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry. Thanks.
spam,Re: invoice attached — please wire payment by EOD or your account is closed.
spam,Note: Hot singles in your area want to meet you tonight. Click here! Best regards.
spam,Note: You have inherited $20 million from a deceased Nigerian prince. Thanks.
spam,"FYI: Don't miss our weekend brunch special, available Sat and Sun. Best regards."
ham,FYI: Did you see the new episode last night? It was incredible. Cheers!
ham,FYI: Just a reminder that the office will be closed Monday for the holiday. 
ham,"Picking the kids up from school today, you don't have to."
spam,"Note: Limited time only: free trial of our diet pills, click now."
spam,FYI: Get a discount on luxury watches — limited stock available! Best regards.
ham,"Hi, New blog post is up: 10 tips for productive remote work. Cheers!"
spam,Claim your Amazon refund now. Click http://amaz0n-refund.co/claim
ham,"Hi, Project status update attached. Let me know if you have questions. Cheers!"
spam,"Hi, Our newsletter is back — read the latest industry news."
ham,"Hello, Lunch tomorrow? That new ramen place near the office."
spam,Click here to claim your prize: http://192.168.0.1/win
spam,"Hi, Buy now, pay never! Free shopping spree just by signing up! Thanks."
ham,Note: Looking forward to seeing you at the wedding next week.
spam,Crypto airdrop alert: claim 5 ETH worth of tokens before midnight.
spam,URGENT: your social security number has been suspended. Press 1 to speak to an agent. Cheers!
spam,Save the date: our annual summer sale starts June 1st!  
